candidate_id,temporal_stability,territorial_stability,dominant_municipality,leave_one_out,state_comparison,pandemic_sensitivity,correlation_only_gate_used
H1_DEMOGRAFIA_REDE,"{""alternativeWindowsRegistered"": [""2014-2019"", ""2019-2025"", ""2022-2025""], ""mainWindow"": ""2014-2025"", ""stageDirections"": {""creche"": ""increase"", ""early_fundamental"": ""decrease"", ""final_fundamental"": ""decrease"", ""fundamental"": ""decrease"", ""high_school"": ""decrease"", ""preschool"": ""increase""}}","{""highSchoolLocalDirections"": [""decrease"", ""increase""], ""municipalities"": 10}","{""absoluteEnrollmentChangeHighSchool"": -2102.0, ""municipalityId"": ""4313409""}","{""details"": [{""direction"": ""decrease"", ""end_value"": 25058.0, ""excluded_municipality_id"": ""4303905"", ""relative_change"": -0.1357224157555272, ""start_value"": 28993.0}, {""direction"": ""decrease"", ""end_value"": 26044.0, ""excluded_municipality_id"": ""4306403"", ""relative_change"": -0.15499172642029785, ""start_value"": 30821.0}, {""direction"": ""decrease"", ""end_value"": 25711.0, ""excluded_municipality_id"": ""4307609"", ""relative_change"": -0.1505831048267204, ""start_value"": 30269.0}, {""direction"": ""decrease"", ""end_value"": 24399.0, ""excluded_municipality_id"": ""4307708"", ""relative_change"": -0.15189961416802808, ""start_value"": 28769.0}, {""direction"": ""decrease"", ""end_value"": 26522.0, ""excluded_municipality_id"": ""4310801"", ""relative_change"": -0.142875609992567, ""start_value"": 30943.0}, {""direction"": ""decrease"", ""end_value"": 26071.0, ""excluded_municipality_id"": ""4313375"", ""relative_change"": -0.15872862213617295, ""start_value"": 30990.0}, {""direction"": ""decrease"", ""end_value"": 19640.0, ""excluded_municipality_id"": ""4313409"", ""relative_change"": -0.1238401142041399, ""start_value"": 22416.0}, {""direction"": ""decrease"", ""end_value"": 25390.0, ""excluded_municipality_id"": ""4314803"", ""relative_change"": -0.17091170323928945, ""start_value"": 30624.0}, {""direction"": ""decrease"", ""end_value"": 20623.0, ""excluded_municipality_id"": ""4318705"", ""relative_change"": -0.18100949128311028, ""start_value"": 25181.0}, {""direction"": ""decrease"", ""end_value"": 22741.0, ""excluded_municipality_id"": ""4320008"", ""relative_change"": -0.16069385495478872, ""start_value"": 27095.0}], ""highSchoolDirections"": [""decrease""], ""stableDirection"": true}","{""creche"": {""regionEnrollmentRelativeChange"": 0.4069425518181166, ""stateEnrollmentRelativeChange"": 0.3547696555917261}, ""early_fundamental"": {""regionEnrollmentRelativeChange"": -0.08781244770351888, ""stateEnrollmentRelativeChange"": -0.07808872004312133}, ""final_fundamental"": {""regionEnrollmentRelativeChange"": -0.14242916231783215, ""stateEnrollmentRelativeChange"": -0.1160295949354912}, ""fundamental"": {""regionEnrollmentRelativeChange"": -0.11186781193336114, ""stateEnrollmentRelativeChange"": -0.09472931519723696}, ""high_school"": {""regionEnrollmentRelativeChange"": -0.15344930636383655, ""stateEnrollmentRelativeChange"": -0.2129522234213154}, ""preschool"": {""regionEnrollmentRelativeChange"": 0.2008579212799258, ""stateEnrollmentRelativeChange"": 0.20830288042770898}}","{""interpretation"": ""Alternative windows isolate pre-pandemic and recent directions; no causal pandemic coefficient is used.""}",False
H2_TRAJETORIA_PERMANENCIA,"{""modelDiagnostics"": {""mainAdjustedPBelow005"": 6, ""mainTermCount"": 36, ""maximumMunicipalities"": 497, ""maximumObservations"": 3479, ""minimumMunicipalities"": 495, ""minimumObservations"": 1482, ""modelCount"": 162, ""signAgreementMainVsSensitivities"": 0.8290598290598291}, ""windows"": [""2019-2025"", ""2022-2025""]}","{""ValeMunicipalFacts"": 10, ""statePanelMunicipalitiesMaximum"": 497}","{""mediumDropoutAbsoluteChangePp"": -5.6000000000000005, ""municipalityId"": ""4318705""}","{""fullTenMunicipalityModelIsSensitivity"": true, ""method"": ""Vale-only model sensitivity and municipal distribution diagnostics""}","{""coverage"": ""497 municipalities in source; complete cases vary by specification"", ""models"": {""mainAdjustedPBelow005"": 6, ""mainTermCount"": 36, ""maximumMunicipalities"": 497, ""maximumObservations"": 3479, ""minimumMunicipalities"": 495, ""minimumObservations"": 1482, ""modelCount"": 162, ""signAgreementMainVsSensitivities"": 0.8290598290598291}}","{""executed"": true, ""sensitivityLabel"": ""EXCLUDE_2020_2021""}",False
H3_TRABALHO_JUVENIL_MEDIO,"{""CAGEDWindow"": ""2020-2025"", ""RAISWindow"": ""2019-2025"", ""lags"": [0, 1, 2], ""modelDiagnostics"": {""mainAdjustedPBelow005"": 2, ""mainTermCount"": 12, ""maximumMunicipalities"": 496, ""maximumObservations"": 3472, ""minimumMunicipalities"": 10, ""minimumObservations"": 70, ""modelCount"": 66, ""signAgreementMainVsSensitivities"": 0.9444444444444443}}","{""ValeMunicipalFacts"": 10, ""statePanelMunicipalitiesMaximum"": 496}","{""RAIS15To17AbsoluteChange"": 534.0, ""municipalityId"": ""4313409""}","{""executed"": true, ""method"": ""VALE_ONLY fixed-effect sensitivity plus municipal contribution review""}","{""coverage"": ""497 municipality RAIS/education panel"", ""models"": {""mainAdjustedPBelow005"": 2, ""mainTermCount"": 12, ""maximumMunicipalities"": 496, ""maximumObservations"": 3472, ""minimumMunicipalities"": 10, ""minimumObservations"": 70, ""modelCount"": 66, ""signAgreementMainVsSensitivities"": 0.9444444444444443}}","{""executed"": true, ""sensitivityLabel"": ""EXCLUDE_2020_2021""}",False
H4_EJA_DISTRIBUICAO,"{""notApplicable"": true, ""reason"": ""The candidate is a pre-registered 2022 snapshot.""}","{""fundamentalClosure"": {""differenceSum"": 7.632783294297951e-17, ""enrollmentShareSum"": 0.9999999999999993, ""publicShareSum"": 0.9999999999999998}, ""highSchoolClosure"": {""differenceSum"": 3.469446951953614e-16, ""enrollmentShareSum"": 0.9999999999999999, ""publicShareSum"": 0.9999999999999996}, ""municipalities"": 10}","{""absoluteDistributionDifferenceFraction"": 0.5092566932057851, ""municipalityId"": ""4313409"", ""stage"": ""high_school""}","{""notApplicable"": true, ""reason"": ""Removing a municipality changes the declared regional distribution universe.""}","{""fundamental"": {""enrollments"": 49548.0, ""enrollmentsPerThousand"": 16.784672248684696, ""municipalityCount"": 497, ""potentialPublic"": 2951979.0}, ""high_school"": {""enrollments"": 45003.0, ""enrollmentsPerThousand"": 30.64253104051694, ""municipalityCount"": 497, ""potentialPublic"": 1468645.0}}","{""notApplicable"": true, ""reason"": ""Snapshot is 2022 and is not interpreted as a trend.""}",False
A1_COORTES_REDE,"{""alternativeWindowsRegistered"": [""2014-2019"", ""2019-2025"", ""2022-2025""], ""mainWindow"": ""2014-2025"", ""stageDirections"": {""creche"": ""increase"", ""early_fundamental"": ""decrease"", ""final_fundamental"": ""decrease"", ""fundamental"": ""decrease"", ""high_school"": ""decrease"", ""preschool"": ""increase""}}","{""highSchoolLocalDirections"": [""decrease"", ""increase""], ""municipalities"": 10}","{""absoluteEnrollmentChangeHighSchool"": -2102.0, ""municipalityId"": ""4313409""}","{""details"": [{""direction"": ""decrease"", ""end_value"": 25058.0, ""excluded_municipality_id"": ""4303905"", ""relative_change"": -0.1357224157555272, ""start_value"": 28993.0}, {""direction"": ""decrease"", ""end_value"": 26044.0, ""excluded_municipality_id"": ""4306403"", ""relative_change"": -0.15499172642029785, ""start_value"": 30821.0}, {""direction"": ""decrease"", ""end_value"": 25711.0, ""excluded_municipality_id"": ""4307609"", ""relative_change"": -0.1505831048267204, ""start_value"": 30269.0}, {""direction"": ""decrease"", ""end_value"": 24399.0, ""excluded_municipality_id"": ""4307708"", ""relative_change"": -0.15189961416802808, ""start_value"": 28769.0}, {""direction"": ""decrease"", ""end_value"": 26522.0, ""excluded_municipality_id"": ""4310801"", ""relative_change"": -0.142875609992567, ""start_value"": 30943.0}, {""direction"": ""decrease"", ""end_value"": 26071.0, ""excluded_municipality_id"": ""4313375"", ""relative_change"": -0.15872862213617295, ""start_value"": 30990.0}, {""direction"": ""decrease"", ""end_value"": 19640.0, ""excluded_municipality_id"": ""4313409"", ""relative_change"": -0.1238401142041399, ""start_value"": 22416.0}, {""direction"": ""decrease"", ""end_value"": 25390.0, ""excluded_municipality_id"": ""4314803"", ""relative_change"": -0.17091170323928945, ""start_value"": 30624.0}, {""direction"": ""decrease"", ""end_value"": 20623.0, ""excluded_municipality_id"": ""4318705"", ""relative_change"": -0.18100949128311028, ""start_value"": 25181.0}, {""direction"": ""decrease"", ""end_value"": 22741.0, ""excluded_municipality_id"": ""4320008"", ""relative_change"": -0.16069385495478872, ""start_value"": 27095.0}], ""highSchoolDirections"": [""decrease""], ""stableDirection"": true}","{""creche"": {""regionEnrollmentRelativeChange"": 0.4069425518181166, ""stateEnrollmentRelativeChange"": 0.3547696555917261}, ""early_fundamental"": {""regionEnrollmentRelativeChange"": -0.08781244770351888, ""stateEnrollmentRelativeChange"": -0.07808872004312133}, ""final_fundamental"": {""regionEnrollmentRelativeChange"": -0.14242916231783215, ""stateEnrollmentRelativeChange"": -0.1160295949354912}, ""fundamental"": {""regionEnrollmentRelativeChange"": -0.11186781193336114, ""stateEnrollmentRelativeChange"": -0.09472931519723696}, ""high_school"": {""regionEnrollmentRelativeChange"": -0.15344930636383655, ""stateEnrollmentRelativeChange"": -0.2129522234213154}, ""preschool"": {""regionEnrollmentRelativeChange"": 0.2008579212799258, ""stateEnrollmentRelativeChange"": 0.20830288042770898}}","{""interpretation"": ""Alternative windows isolate pre-pandemic and recent directions; no causal pandemic coefficient is used.""}",False
A2_TRABALHO_PERMANENCIA,"{""CAGEDWindow"": ""2020-2025"", ""RAISWindow"": ""2019-2025"", ""lags"": [0, 1, 2], ""modelDiagnostics"": {""mainAdjustedPBelow005"": 2, ""mainTermCount"": 12, ""maximumMunicipalities"": 496, ""maximumObservations"": 3472, ""minimumMunicipalities"": 10, ""minimumObservations"": 70, ""modelCount"": 66, ""signAgreementMainVsSensitivities"": 0.9444444444444443}}","{""ValeMunicipalFacts"": 10, ""statePanelMunicipalitiesMaximum"": 496}","{""RAIS15To17AbsoluteChange"": 534.0, ""municipalityId"": ""4313409""}","{""executed"": true, ""method"": ""VALE_ONLY fixed-effect sensitivity plus municipal contribution review""}","{""coverage"": ""497 municipality RAIS/education panel"", ""models"": {""mainAdjustedPBelow005"": 2, ""mainTermCount"": 12, ""maximumMunicipalities"": 496, ""maximumObservations"": 3472, ""minimumMunicipalities"": 10, ""minimumObservations"": 70, ""modelCount"": 66, ""signAgreementMainVsSensitivities"": 0.9444444444444443}}","{""executed"": true, ""sensitivityLabel"": ""EXCLUDE_2020_2021""}",False
A3_OCUPACOES_FORMACAO,"{""municipalSupplyDirections"": [""decrease"", ""increase"", ""stable""], ""occupationWindow"": ""2019-2025"", ""supplyWindow"": ""2023-2025""}","{""municipalities"": 10, ""observedZeroMunicipalities2025"": [""4303905"", ""4310801"", ""4313375""]}","{""municipalityId"": ""4313409"", ""technicalEnrollmentShare2025"": 0.397346719254213}","{""dominantShareRecorded"": 0.397346719254213, ""method"": ""regional supply concentration recalculated from municipal totals""}","{""available"": false, ""reason"": ""Detailed course supply universe in Job 2 is regional; no substitute was used.""}","{""notApplicable"": true, ""reason"": ""Detailed course series starts in 2023.""}",False
