course_code,course_name,technological_axis_code,technological_axis_name,occupation_subgroup_code,occupation_subgroup_name,sector_CNAE_context_2025,sector_context_coverage_share_2025,active_bonds_2019,active_bonds_2025,absolute_change_active_bonds,relative_change_active_bonds,municipalities_of_occupation_concentration_2025,municipal_concentration_coverage_share_2025,course_enrollments_2023,course_enrollments_2024,course_enrollments_2025,municipalities_offer_2023,municipalities_offer_2024,municipalities_offer_2025,regional_offer_share_2025,bridge_status,coverage_by_course,coverage_by_enrollment,Nova_Santa_Rita_subgroup_bonds_2019,Nova_Santa_Rita_subgroup_bonds_2025,Nova_Santa_Rita_sector_context_2025,non_additivity,interpretation_limit
1023,Radiologia,1000,Ambiente e saúde,32,"TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS BIOLÓGICAS, BIOQUÍMICAS, DA SAÚDE E AFINS","8610101 Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências: 1719 in 2025 (Δ +390); 8610102 Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências: 1393 in 2025 (Δ -19); 8411600 Administração pública em geral: 576 in 2025 (Δ -40)",0.6361911333448336,4985.0,5797.0,812.0,0.16288866599799398,Novo Hamburgo 2284; São Leopoldo 1085; Sapucaia do Sul 719,0.7051923408659652,202,275,171,Esteio; Novo Hamburgo; São Leopoldo,Novo Hamburgo; São Leopoldo,Esteio; Novo Hamburgo; São Leopoldo,0.012262459662961635,mapped,0.8863636363636364,0.9081391179634276,50.0,41.0,"8411600 Administração pública em geral: 24; 8640207 Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética: 4; 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados: 3",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
4059,Recursos Humanos,4000,Gestão e negócios,35,TÉCNICOS DE NIVEL MÉDIO NAS CIÊNCIAS ADMINISTRATIVAS,6912500 Cartórios: 343 in 2025 (Δ +75); 8411600 Administração pública em geral: 292 in 2025 (Δ -244); 1531901 Fabricação de calçados de couro: 177 in 2025 (Δ +26),0.11206182721501518,6208.0,7246.0,1038.0,0.16720360824742267,Novo Hamburgo 2258; São Leopoldo 1501; Campo Bom 713,0.6171680927408225,55,0,14,Esteio; Novo Hamburgo; São Leopoldo,,Esteio; Novo Hamburgo; São Leopoldo,0.0010039440659734672,mapped,0.8863636363636364,0.9081391179634276,410.0,315.0,"4639701 Comércio atacadista de produtos alimentícios em geral: 45; 2640000 Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo: 41; 4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 31",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
4059,Recursos Humanos,4000,Gestão e negócios,41,ESCRITURÁRIOS,"4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 2124 in 2025 (Δ +767); 8411600 Administração pública em geral: 1518 in 2025 (Δ -328); 6920601 Atividades de contabilidade: 1448 in 2025 (Δ +13)",0.1284218493755519,33704.0,39635.0,5931.0,0.17597317825777356,Novo Hamburgo 11638; São Leopoldo 8516; Campo Bom 3925,0.6075186072915353,55,0,14,Esteio; Novo Hamburgo; São Leopoldo,,Esteio; Novo Hamburgo; São Leopoldo,0.0010039440659734672,mapped,0.8863636363636364,0.9081391179634276,1525.0,2846.0,"4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 782; 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados: 360; 7820500 Locação de mão-de-obra temporária: 279",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
1012,Saúde Bucal,1000,Ambiente e saúde,32,"TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS BIOLÓGICAS, BIOQUÍMICAS, DA SAÚDE E AFINS","8610101 Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências: 1719 in 2025 (Δ +390); 8610102 Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências: 1393 in 2025 (Δ -19); 8411600 Administração pública em geral: 576 in 2025 (Δ -40)",0.6361911333448336,4985.0,5797.0,812.0,0.16288866599799398,Novo Hamburgo 2284; São Leopoldo 1085; Sapucaia do Sul 719,0.7051923408659652,0,0,1,,,Sapucaia do Sul,7.171029042667623e-05,mapped,0.8863636363636364,0.9081391179634276,50.0,41.0,"8411600 Administração pública em geral: 24; 8640207 Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética: 4; 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados: 3",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
13182,Segurança do Trabalho,13000,Segurança,35,TÉCNICOS DE NIVEL MÉDIO NAS CIÊNCIAS ADMINISTRATIVAS,6912500 Cartórios: 343 in 2025 (Δ +75); 8411600 Administração pública em geral: 292 in 2025 (Δ -244); 1531901 Fabricação de calçados de couro: 177 in 2025 (Δ +26),0.11206182721501518,6208.0,7246.0,1038.0,0.16720360824742267,Novo Hamburgo 2258; São Leopoldo 1501; Campo Bom 713,0.6171680927408225,296,276,309,Esteio; Novo Hamburgo; Portão; São Leopoldo,Esteio; Novo Hamburgo; Portão; São Leopoldo,Esteio; Novo Hamburgo; Portão; São Leopoldo,0.022158479741842953,mapped,0.8863636363636364,0.9081391179634276,410.0,315.0,"4639701 Comércio atacadista de produtos alimentícios em geral: 45; 2640000 Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo: 41; 4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 31",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
3049,Sistemas a Gás,3000,Controle e processos industriais,72,TRABALHADORES DA TRANSFORMAÇÃO DE METAIS E DE COMPÓSITOS,"2840200 Fabricação de máquinas-ferramenta, peças e acessórios: 1686 in 2025 (Δ +412); 2550102 Fabricação de armas de fogo e munições: 1083 in 2025 (Δ -309); 2599399 Fabricação de outros produtos de metal não especificados anteriormente: 757 in 2025 (Δ -86)",0.2677093614759699,11718.0,13171.0,1453.0,0.12399726915855948,São Leopoldo 5497; Novo Hamburgo 2593; Sapucaia do Sul 1928,0.7606104320097183,0,30,25,,Esteio,Esteio,0.0017927572606669057,mapped,0.8863636363636364,0.9081391179634276,295.0,346.0,"4292801 Montagem de estruturas metálicas: 127; 2930101 Fabricação de cabines, carrocerias e reboques para caminhões: 21; 2539002 Serviços de tratamento e revestimento em metais: 17",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
4064,Transações Imobiliárias,4000,Gestão e negócios,35,TÉCNICOS DE NIVEL MÉDIO NAS CIÊNCIAS ADMINISTRATIVAS,6912500 Cartórios: 343 in 2025 (Δ +75); 8411600 Administração pública em geral: 292 in 2025 (Δ -244); 1531901 Fabricação de calçados de couro: 177 in 2025 (Δ +26),0.11206182721501518,6208.0,7246.0,1038.0,0.16720360824742267,Novo Hamburgo 2258; São Leopoldo 1501; Campo Bom 713,0.6171680927408225,11,83,37,Novo Hamburgo,Novo Hamburgo,Novo Hamburgo,0.0026532807457870203,mapped,0.8863636363636364,0.9081391179634276,410.0,315.0,"4639701 Comércio atacadista de produtos alimentícios em geral: 45; 2640000 Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo: 41; 4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 31",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
99999,Ensino Médio - Curso Normal/Magistério,999,Ensino Médio - Curso Normal/Magistério,not_mapped,not_mapped,not_mapped,,,,,,not_mapped,,671,608,491,Ivoti; Novo Hamburgo; Sapucaia do Sul; São Leopoldo,Ivoti; Novo Hamburgo; Sapucaia do Sul; São Leopoldo,Novo Hamburgo; Sapucaia do Sul; São Leopoldo,0.035209752599498025,unmapped,0.1136363636363636,0.0918608820365722,,,not_mapped,Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
6073,Informática,6000,Informação e comunicação,not_mapped,not_mapped,not_mapped,,,,,,not_mapped,,842,739,782,Ivoti; Novo Hamburgo; Portão; Sapucaia do Sul; São Leopoldo,Ivoti; Novo Hamburgo; Portão; Sapucaia do Sul; São Leopoldo,Dois Irmãos; Novo Hamburgo; Portão; Sapucaia do Sul; São Leopoldo,0.05607744711366081,unmapped,0.1136363636363636,0.0918608820365722,,,not_mapped,Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
4999,Outros - Eixo Gestão e Negócios,4000,Gestão e negócios,not_mapped,not_mapped,not_mapped,,,,,,not_mapped,,0,0,3,,,Novo Hamburgo,0.00021513087128002868,unmapped,0.1136363636363636,0.0918608820365722,,,not_mapped,Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
6999,Outros - Eixo Informação e Comunicação,6000,Informação e comunicação,not_mapped,not_mapped,not_mapped,,,,,,not_mapped,,56,5,1,Dois Irmãos; Ivoti; São Leopoldo,Dois Irmãos,Novo Hamburgo,7.171029042667623e-05,unmapped,0.1136363636363636,0.0918608820365722,,,not_mapped,Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
10151,Publicidade,10000,Produção cultural e design,not_mapped,not_mapped,not_mapped,,,,,,not_mapped,,19,34,4,Novo Hamburgo,Novo Hamburgo,Novo Hamburgo,0.0002868411617067049,unmapped,0.1136363636363636,0.0918608820365722,,,not_mapped,Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
